Area,Gender,Average travel (in kms) by vehicle per day,Age group
Rural area,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Greater than 10 kms,18 to 22
Rural area,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Greater than 10 kms,18 to 22
Tier 1 (Metro),Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Rural area,Female,Greater than 10 kms,Greater than 22
Rural area,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Rural area,Female,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 1 (Metro),Female,Less than 10 kms,18 to 22
Rural area,Female,Greater than 10 kms,18 to 22
Rural area,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Greater than 10 kms,18 to 22
Rural area,Female,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Rural area,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Rural area,Male,Greater than 10 kms,Greater than 22
Tier 2 or Tier 3,Male,Greater than 10 kms,18 to 22
Rural area,Female,Less than 10 kms,18 to 22
Tier 1 (Metro),Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Rural area,Male,Greater than 10 kms,Greater than 22
Rural area,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Greater than 10 kms,18 to 22
Tier 1 (Metro),Female,Greater than 10 kms,18 to 22
Rural area,Male,Less than 10 kms,18 to 22
Tier 1 (Metro),Male,Greater than 10 kms,18 to 22
Tier 1 (Metro),Female,Greater than 10 kms,18 to 22
Tier 1 (Metro),Male,Less than 10 kms,18 to 22
Tier 1 (Metro),Male,Greater than 10 kms,18 to 22
Tier 1 (Metro),Male,Greater than 10 kms,Greater than 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Greater than 10 kms,Greater than 22
Tier 2 or Tier 3,Female,Greater than 10 kms,18 to 22
Rural area,Male,Greater than 10 kms,18 to 22
Rural area,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Greater than 10 kms,18 to 22
Tier 1 (Metro),Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 1 (Metro),Female,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Greater than 10 kms,Greater than 22
Tier 2 or Tier 3,Male,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Female,Greater than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Less than 10 kms,18 to 22
Tier 2 or Tier 3,Male,Greater than 10 kms,Greater than 22
Tier 2 or Tier 3,Male,Greater than 10 kms,18 to 22
